portfolio_value,cash,w_c,w_XLF,w_XLK,w_XLV,w_XLY,w_XLP,w_XLE,w_XLI,w_XLU,w_XLB,w_XLRE,w_XLC,s_XLF,s_XLK,s_XLV,s_XLY,s_XLP,s_XLE,s_XLI,s_XLU,s_XLB,s_XLRE,s_XLC
100499.6397781372,12624.547142028809,0.12561783474944518,0.1684,0.0619,0.1126,0.0613,0.0617,0.1682,0.0618,0.0718,0.1066,0.0,0.0,1041,167,180,90,163,316,131,224,264,0,0
100079.2218208313,31941.80415534973,0.3191651930760827,0.0584,0.0583,0.0581,0.1586,0.0836,0.0582,0.0892,0.0583,0.0582,0.0,0.0,358,157,93,233,221,110,190,183,144,0,0
100250.76487541199,10731.6651096344,0.1070482117814395,0.1423,0.075,0.0818,0.0971,0.0522,0.1081,0.1422,0.0521,0.1421,0.0,0.0,874,203,131,143,138,201,303,163,351,0,0
100811.03458976746,12159.025188446045,0.12061204646817714,0.0593,0.0593,0.0592,0.0594,0.107,0.1616,0.1257,0.1613,0.0866,0.0,0.0,365,160,95,88,285,295,269,506,213,0,0
100658.20456886292,29885.374879837036,0.29689954244506384,0.0681,0.1475,0.1053,0.1071,0.0543,0.0542,0.0542,0.0543,0.0581,0.0,0.0,418,399,169,158,144,99,116,171,143,0,0
99880.00405693054,11249.65220451355,0.11263167548633025,0.1499,0.0551,0.0548,0.068,0.055,0.15,0.1498,0.0551,0.1497,0.0,0.0,925,150,88,101,146,274,322,173,369,0,0
100585.65605545044,31963.22430229187,0.3177711967665779,0.058,0.0635,0.0939,0.0574,0.1577,0.0578,0.0579,0.0783,0.0576,0.0,0.0,359,171,151,85,420,106,124,244,142,0,0
100469.46605491638,10402.878461837769,0.10354268685126264,0.1384,0.0702,0.0583,0.0582,0.1246,0.1384,0.1383,0.0507,0.1194,0.0,0.0,860,189,93,86,331,256,296,159,296,0,0
100847.8527431488,31447.33902168274,0.3118295349507989,0.057,0.0568,0.1545,0.0567,0.1355,0.0569,0.057,0.0569,0.0568,0.0,0.0,353,152,247,84,361,105,122,179,141,0,0
101000.74691772461,28480.782512664795,0.28198586032106565,0.0614,0.0753,0.1398,0.0515,0.1292,0.0512,0.0513,0.0757,0.0826,0.0,0.0,380,201,223,76,346,94,110,237,205,0,0
101179.99256896973,16785.19847869873,0.16589444269090092,0.0613,0.0611,0.0961,0.0761,0.0612,0.1044,0.1668,0.1442,0.0629,0.0,0.0,381,162,154,111,164,193,360,448,155,0,0
100759.95966529846,26269.237476348877,0.2607110757448621,0.101,0.1136,0.1083,0.0539,0.1471,0.0537,0.054,0.054,0.0538,0.0,0.0,627,299,176,79,395,99,116,169,131,0,0
100989.00127792358,16971.03204345703,0.16804832039830198,0.076,0.1061,0.1166,0.1641,0.1153,0.0604,0.06,0.0732,0.0603,0.0,0.0,470,279,189,242,310,111,129,228,147,0,0
100592.00970458984,29105.945056915283,0.28934649126099754,0.0529,0.0528,0.1436,0.0528,0.0529,0.1437,0.0525,0.1069,0.0527,0.0,0.0,326,139,234,78,143,261,113,333,128,0,0
99947.54413032532,10399.302890777588,0.10404760798542033,0.1386,0.1387,0.0505,0.1387,0.0509,0.0508,0.1386,0.0508,0.1384,0.0,0.0,856,368,83,206,137,92,299,159,336,0,0
100985.74091720581,16464.392812728882,0.1630368076046239,0.0593,0.0593,0.0684,0.1607,0.1505,0.0592,0.1612,0.0591,0.0593,0.0,0.0,367,157,112,238,406,108,347,186,143,0,0
101188.7113647461,35621.58413887024,0.3520312064304113,0.0644,0.0906,0.0656,0.0702,0.0645,0.0644,0.0998,0.0642,0.0643,0.0,0.0,395,240,107,104,174,118,215,201,156,0,0
100342.90244483948,10637.30131149292,0.1060095039341767,0.1117,0.0682,0.0537,0.1409,0.0519,0.0516,0.1413,0.1332,0.1415,0.0,0.0,686,182,88,209,140,95,306,423,344,0,0
100068.64399528503,10915.97882270813,0.10908490798798534,0.1456,0.0894,0.1293,0.1454,0.0533,0.0543,0.1102,0.0534,0.1101,0.0,0.0,896,240,212,216,143,100,238,170,267,0,0
100452.53384590149,12510.279769897461,0.12453921559697806,0.0611,0.0609,0.0611,0.0607,0.1232,0.1663,0.1154,0.0609,0.1659,0.0,0.0,375,163,100,90,331,311,249,194,402,0,0
101617.25150680542,26403.15849685669,0.2598294886482778,0.0601,0.06,0.1632,0.1333,0.0835,0.0602,0.0598,0.06,0.0601,0.0,0.0,368,160,266,198,225,112,129,192,145,0,0
101287.76168823242,12128.938655853271,0.11974732636689717,0.1603,0.1062,0.0585,0.0585,0.059,0.1602,0.0585,0.0589,0.1602,0.0,0.0,981,284,95,87,159,303,126,189,387,0,0
100999.62035751343,26384.085021972656,0.2612295464931411,0.0477,0.0478,0.0472,0.0774,0.1295,0.0474,0.0912,0.1298,0.1207,0.0,0.0,292,128,77,115,349,89,196,416,294,0,0
100836.15324401855,13744.47108078003,0.13630499219381248,0.1814,0.0664,0.0664,0.0683,0.0665,0.14,0.0663,0.0665,0.1417,0.0,0.0,1109,177,108,102,179,263,142,215,345,0,0
101623.4119682312,13367.48579788208,0.13153943111121805,0.0848,0.0647,0.0644,0.0641,0.0647,0.0644,0.1761,0.1093,0.1759,0.0,0.0,518,171,104,96,173,122,376,352,427,0,0
101893.14294815063,14290.460079193115,0.14024947769512774,0.0691,0.0688,0.1206,0.0692,0.0981,0.0835,0.0691,0.0935,0.1878,0.0,0.0,425,183,195,103,262,158,148,298,455,0,0
102006.43277740479,12735.22416305542,0.12484726518028352,0.0613,0.1008,0.0609,0.0693,0.1667,0.1178,0.1663,0.0611,0.071,0.0,0.0,375,267,98,103,447,223,356,194,173,0,0
101758.39701652527,21794.950309753418,0.21418331016175482,0.0565,0.0563,0.1533,0.1221,0.0563,0.0747,0.0565,0.1537,0.0565,0.0,0.0,343,149,245,181,151,143,121,486,138,0,0
101754.08547401428,12110.852561950684,0.11902079907193037,0.0586,0.0586,0.1592,0.0654,0.0766,0.0586,0.1237,0.1207,0.1596,0.0,0.0,357,155,254,97,206,112,266,381,390,0,0
101987.8664188385,13623.47472190857,0.13357936782362312,0.068,0.0655,0.0725,0.1067,0.1785,0.1786,0.0653,0.0657,0.0656,0.0,0.0,416,173,116,158,480,339,140,208,160,0,0
101758.39311790466,11757.296384811401,0.11554129369150458,0.1547,0.1365,0.0569,0.1547,0.0568,0.0568,0.1546,0.0569,0.0566,0.0,0.0,944,360,91,229,153,108,332,180,138,0,0
