date,portfolio_value,cash,w_c,w_Canada,w_France,w_Germany,w_Italy,w_Japan,w_Switzerland,w_UK,w_US,s_Canada,s_France,s_Germany,s_Italy,s_Japan,s_Switzerland,s_UK,s_US,purchases,sales
2014-02-11,99807.62604522705,161.31817245483398,0.0016162910475571667,0.1963,0.1069,0.0744,0.108,0.2025,0.0745,0.079,0.1568,874,456,331,282,785,362,310,105,17893.176652908325,17809.242979049683
2014-02-12,99979.90585136414,126.59243202209473,0.0012661787480605783,0.2198,0.1343,0.111,0.0847,0.1066,0.0932,0.1284,0.1208,976,573,492,222,414,454,501,81,15450.812799453735,15416.087059020996
2014-02-13,100642.55026435852,161.96769905090332,0.001609336196523852,0.1151,0.083,0.0762,0.1334,0.2073,0.081,0.0953,0.2071,511,351,337,355,806,393,373,139,23873.560066223145,23908.935333251953
2014-02-14,101059.78058624268,125.67980003356934,0.0012436183742385663,0.1075,0.1036,0.0783,0.2131,0.1202,0.0784,0.0844,0.2133,477,439,343,572,467,380,330,143,11011.183727264404,10974.89582824707
2014-02-18,101834.1112651825,203.6958408355713,0.0020002712087812537,0.2107,0.0774,0.0775,0.1757,0.0774,0.0824,0.1117,0.1853,939,329,341,465,302,402,434,125,13742.061546325684,13820.077587127686
2014-02-19,101065.14645385742,77.54569435119629,0.0007672842426107873,0.2181,0.1375,0.0802,0.0993,0.1554,0.1296,0.0991,0.0801,972,585,354,264,605,631,383,54,19744.86402130127,19618.713874816895
2014-02-20,101425.15446853638,137.449369430542,0.0013551802819603382,0.231,0.206,0.1103,0.0887,0.0913,0.0973,0.0849,0.0892,1029,878,484,238,357,471,327,60,12179.691097259521,12239.594772338867
2014-02-21,101528.24686431885,142.52950859069824,0.0014038409309004715,0.2049,0.0752,0.0752,0.1459,0.1747,0.0752,0.0752,0.1721,916,320,332,389,681,363,290,116,22624.424560546875,22629.50469970703
2014-02-24,102188.48588180542,156.0512752532959,0.0015270925477239184,0.2299,0.1425,0.1018,0.1447,0.0963,0.0845,0.0846,0.1141,1029,607,452,384,375,407,326,77,14115.542434692383,14129.06420135498
2014-02-25,102025.56695365906,161.65237998962402,0.0015844301072401588,0.1471,0.0777,0.0777,0.211,0.1642,0.0776,0.0829,0.1603,658,331,344,561,637,373,322,108,18377.657585144043,18383.25868988037
2014-02-26,101578.10758209229,118.16691207885742,0.0011633108244644011,0.0952,0.0882,0.0884,0.24,0.1795,0.0882,0.0881,0.1312,426,377,394,638,696,425,342,88,8340.193368911743,8296.707901000977
2014-02-27,101935.98906898499,176.85109519958496,0.0017349230317459453,0.0939,0.0939,0.1002,0.2553,0.0939,0.0939,0.0939,0.1732,421,403,446,681,363,452,363,116,8839.071243286133,8897.75542640686
2014-02-28,102387.83054924011,250.7466106414795,0.002448988412943187,0.1755,0.0728,0.0729,0.1977,0.1365,0.0728,0.0727,0.1967,786,311,324,527,527,351,282,132,15136.23078918457,15210.126304626465
2014-03-03,100594.3742389679,177.56640243530273,0.0017651722949583962,0.156,0.0966,0.087,0.2361,0.0922,0.0869,0.0868,0.1567,688,420,393,633,358,422,337,104,10930.737546920776,10857.5573387146
2014-03-04,102459.56944274902,269.0479507446289,0.0026258938253196926,0.1652,0.0744,0.1406,0.1273,0.1257,0.0743,0.089,0.201,739,322,626,339,489,360,347,134,14850.964179992676,14942.445728302002
2014-03-05,102622.24342536926,151.60936546325684,0.0014773538406760015,0.2298,0.0844,0.0846,0.2299,0.0927,0.0846,0.0846,0.1079,1024,367,372,620,361,410,331,72,19375.55354499817,19258.114959716797
2014-03-06,103646.05384635925,133.87316513061523,0.0012916378401541793,0.1099,0.1058,0.0805,0.1915,0.1956,0.0795,0.0796,0.1562,493,461,352,512,759,384,314,105,17954.662578582764,17936.926378250122
2014-03-07,103149.15810775757,189.7582015991211,0.0018396485737759006,0.1468,0.0933,0.0756,0.2053,0.1957,0.0754,0.1014,0.1047,660,409,329,550,758,364,401,70,7564.0097942352295,7619.894830703735
2014-03-10,102766.18337631226,114.3306713104248,0.0011125320368448963,0.2437,0.1206,0.1143,0.1015,0.0897,0.1436,0.0895,0.096,1092,533,495,272,347,691,357,64,23712.17209815979,23636.744567871094
2014-03-11,102261.37415885925,194.33617210388184,0.0019003868635872993,0.1477,0.1798,0.0975,0.1314,0.141,0.1126,0.0863,0.102,660,792,422,354,545,544,344,68,14973.409009933472,15053.414510726929
2014-03-12,102030.01910591125,168.72350883483887,0.0016536653654812814,0.2321,0.1496,0.1261,0.0958,0.1083,0.0854,0.0852,0.1158,1030,662,543,260,418,413,341,77,12754.925857543945,12729.313194274902
2014-03-13,100379.105052948,164.73981857299805,0.0016411764030581967,0.1431,0.1691,0.0815,0.183,0.165,0.0815,0.0815,0.0937,626,758,354,497,638,397,326,62,16621.232360839844,16617.248670578003
2014-03-14,100169.65079879761,129.02831840515137,0.001288097915648321,0.2026,0.1546,0.1816,0.0744,0.1481,0.089,0.0745,0.074,889,684,785,204,575,433,297,49,16732.740608215332,16697.029108047485
2014-03-17,101519.01830101013,141.05426597595215,0.0013894368595814982,0.2039,0.0983,0.0814,0.2215,0.1494,0.0815,0.0815,0.0812,903,433,347,609,582,396,327,54,16979.072952270508,16991.09889984131
2014-03-18,102052.24439239502,189.4647617340088,0.0018565467409566133,0.0788,0.2148,0.0788,0.2147,0.1552,0.0789,0.0789,0.0979,350,943,335,594,602,381,317,65,14073.538108825684,14121.94860458374
2014-03-19,100955.06076431274,61.84893226623535,0.0006126382550610947,0.232,0.0991,0.0853,0.085,0.2319,0.0853,0.0853,0.0954,1031,435,365,234,903,414,343,63,25321.563316345215,25193.94748687744
2014-03-20,101070.10985565186,171.15851020812988,0.001693463185630036,0.1697,0.0991,0.0966,0.195,0.0963,0.1054,0.1161,0.1202,754,435,411,545,375,508,468,79,19902.701932907104,20012.011510849
2014-03-21,100791.5539970398,168.177978515625,0.0016685721357224466,0.2185,0.0802,0.0802,0.1361,0.2184,0.0829,0.0802,0.1018,966,351,345,381,848,400,323,67,17111.510942459106,17108.5304107666
2014-03-24,100746.15827178955,95.6690788269043,0.0009496052302938591,0.0969,0.09,0.1151,0.1427,0.2288,0.0847,0.0848,0.156,429,395,492,398,889,408,342,103,12287.79115486145,12215.28225517273
2014-03-25,101691.83721160889,186.3014907836914,0.0018320201098935766,0.0814,0.0831,0.1304,0.2213,0.1732,0.0812,0.0813,0.1462,362,363,557,620,672,389,326,97,9604.161623001099,9694.794034957886
2014-03-26,101697.02543067932,226.59491729736328,0.0022281371194265583,0.1234,0.1109,0.2042,0.1043,0.0919,0.1357,0.1361,0.0913,550,483,872,290,357,651,548,61,25753.519330978394,25793.812757492065
2014-03-27,102034.7550945282,163.39914894104004,0.001601406783303022,0.1589,0.0691,0.069,0.1879,0.1879,0.069,0.0691,0.1875,708,302,294,517,732,332,278,126,31731.42943763733,31668.233669281006
2014-03-28,102752.78380775452,143.9897403717041,0.0014013220375722563,0.0965,0.0776,0.1093,0.2112,0.1379,0.0776,0.0776,0.2109,431,337,462,579,539,374,313,142,11465.140850067139,11445.731441497803
2014-03-31,103330.67956542969,157.3650131225586,0.001522926334989542,0.2115,0.1078,0.0777,0.0776,0.2114,0.1427,0.0922,0.0774,944,470,327,214,821,691,373,52,30832.44626045227,30845.821533203125
2014-04-01,103998.02712059021,232.15626525878906,0.0022323141283208557,0.1853,0.1395,0.1765,0.1044,0.0861,0.1349,0.086,0.0849,828,608,737,289,335,651,349,57,17099.19581222534,17173.987064361572
2014-04-02,103927.14904975891,94.6118335723877,0.0009103668717698475,0.1696,0.0759,0.0761,0.1149,0.207,0.076,0.0762,0.2034,754,331,322,315,805,367,308,136,25824.65417098999,25687.10973930359
2014-04-03,103700.06128311157,116.15835571289062,0.0011201377730700338,0.0733,0.1995,0.1086,0.0735,0.1808,0.1767,0.0892,0.0973,327,871,454,202,704,851,361,65,27880.26001739502,27901.806539535522
2014-04-04,103297.1323928833,157.57632446289062,0.0015254665914980125,0.2413,0.0887,0.0887,0.2083,0.0886,0.0887,0.0887,0.1054,1066,387,371,573,346,426,359,71,32130.967670440674,32172.385639190674
2014-04-07,102597.95663261414,230.85114288330078,0.002250055951016057,0.1465,0.1469,0.0885,0.1037,0.1185,0.2102,0.0962,0.0872,649,643,366,286,460,1005,389,59,22202.29421043396,22275.56902885437
2014-04-08,102696.13358688354,106.46412658691406,0.001036690699721842,0.2389,0.0878,0.0879,0.1928,0.0901,0.0878,0.0877,0.1261,1046,384,367,544,348,420,352,85,22684.37186050415,22559.984844207764
2014-04-09,103888.10142707825,196.7256851196289,0.0018936305738315544,0.1476,0.0869,0.0869,0.2367,0.14,0.0869,0.0871,0.1259,648,380,363,666,542,415,349,85,9709.193920135498,9799.455478668213
2014-04-10,101821.71298217773,170.01331901550293,0.0016697157613647794,0.2463,0.0904,0.1118,0.1028,0.1178,0.0906,0.0905,0.148,1076,395,472,292,451,432,360,100,15860.713357925415,15834.000991821289
2014-04-11,101111.97318077087,115.11378479003906,0.0011384782748155389,0.1712,0.0832,0.0832,0.2265,0.1854,0.0832,0.0833,0.0827,749,364,349,641,712,396,332,56,19342.983644485474,19288.08411026001
