portfolio_value,cash,w_c,w_XLF,w_XLK,w_XLV,w_XLY,w_XLP,w_XLE,w_XLI,w_XLU,w_XLB,w_XLRE,w_XLC,s_XLF,s_XLK,s_XLV,s_XLY,s_XLP,s_XLE,s_XLI,s_XLU,s_XLB,s_XLRE,s_XLC
106023.39116573334,15760.998998641968,0.14865586570424572,0.0911,0.0842,0.1475,0.0964,0.0919,0.1193,0.0737,0.0736,0.0736,0.0,0.0,819,347,427,227,346,253,234,306,253,0,0
106670.8024635315,13573.094018936157,0.1272428228293915,0.0629,0.0628,0.0627,0.0641,0.0989,0.1711,0.1532,0.0853,0.1119,0.0,0.0,565,259,181,150,371,363,489,354,384,0,0
105880.97468662262,16297.560336112976,0.15392340677207675,0.066,0.0659,0.0659,0.0657,0.0659,0.1796,0.0659,0.0917,0.1794,0.0,0.0,596,273,190,154,246,380,211,380,622,0,0
106415.70861339569,13390.82371711731,0.1258350284145142,0.0934,0.0621,0.0622,0.1689,0.0726,0.0753,0.1084,0.0621,0.169,0.0,0.0,843,257,179,393,270,159,346,258,588,0,0
106032.16746139526,12423.854270935059,0.11717061499717432,0.0577,0.0576,0.0578,0.1568,0.0577,0.1568,0.124,0.0576,0.1569,0.0,0.0,520,238,166,364,214,331,398,239,548,0,0
106738.64022827148,14714.210796356201,0.1378527098048875,0.1105,0.0731,0.0678,0.0881,0.0679,0.185,0.1108,0.0679,0.0911,0.0,0.0,996,302,194,205,251,389,356,281,318,0,0
106790.91448783875,30253.074358940125,0.28329258630316645,0.0562,0.0603,0.1282,0.086,0.0559,0.0558,0.0806,0.1128,0.081,0.0,0.0,509,250,365,200,207,117,259,465,283,0,0
107222.4336309433,15311.990118980408,0.14280584389348838,0.071,0.1928,0.0773,0.0709,0.0708,0.1269,0.0708,0.0832,0.0935,0.0,0.0,644,801,219,165,262,268,227,340,327,0,0
106780.91951274872,17966.626781463623,0.16825690266994342,0.1109,0.0648,0.1329,0.0647,0.0648,0.0911,0.065,0.1698,0.0678,0.0,0.0,1007,270,374,151,239,192,210,693,238,0,0
107131.8126745224,16956.80445098877,0.1582798239632639,0.0655,0.0651,0.065,0.0856,0.065,0.1501,0.1058,0.1309,0.1088,0.0,0.0,593,271,181,199,238,319,344,534,387,0,0
106252.64905166626,14466.136245727539,0.13614847606004868,0.0852,0.0731,0.0666,0.1212,0.0667,0.0666,0.1273,0.0754,0.1818,0.0,0.0,778,304,185,282,245,143,413,306,647,0,0
106772.49560928345,14545.65719985962,0.1362303757803609,0.071,0.0677,0.0713,0.1842,0.1142,0.0675,0.1087,0.1064,0.0728,0.0,0.0,646,283,198,428,419,146,353,430,258,0,0
106474.23118019104,14010.663872718811,0.13158736829954606,0.0665,0.1119,0.0675,0.0653,0.0697,0.1376,0.1174,0.0703,0.1622,0.0,0.0,605,470,188,152,257,296,381,282,576,0,0
107049.34323215485,12393.308325767517,0.11577192303637496,0.0779,0.0602,0.0572,0.13,0.057,0.1336,0.1554,0.0572,0.1557,0.0,0.0,706,253,160,301,209,287,504,229,554,0,0
107445.10735797882,17970.381611824036,0.16725174420414932,0.0713,0.0713,0.1368,0.0712,0.1078,0.1137,0.0712,0.0712,0.1181,0.0,0.0,647,299,383,166,397,243,231,287,417,0,0
108424.25773334503,17024.295435905457,0.15701555898841785,0.1621,0.1025,0.0777,0.0779,0.0778,0.0778,0.0907,0.0778,0.0987,0.0,0.0,1463,426,216,181,287,167,293,314,349,0,0
108745.81517791748,34192.33195590973,0.3144243472722894,0.0796,0.0574,0.1058,0.0571,0.0573,0.0574,0.0572,0.1563,0.0575,0.0,0.0,719,240,292,132,211,123,185,631,203,0,0
108606.41209793091,12655.412781715393,0.1165254660130375,0.1268,0.0575,0.0574,0.1563,0.0576,0.0575,0.1565,0.0575,0.1564,0.0,0.0,1149,241,158,359,211,125,508,231,560,0,0
106065.46896266937,13155.407517433167,0.12403101260093728,0.1657,0.0608,0.0607,0.1598,0.0608,0.0605,0.1654,0.0608,0.0815,0.0,0.0,1498,253,166,368,221,134,541,242,296,0,0
107426.99619579315,15159.410012245178,0.1411135985280283,0.0697,0.0823,0.0695,0.0778,0.0697,0.0781,0.0823,0.1397,0.1896,0.0,0.0,629,343,190,179,252,173,269,556,685,0,0
106206.17076206207,21603.78141117096,0.2034136176472342,0.0666,0.0666,0.0663,0.0666,0.1809,0.1362,0.0664,0.0664,0.0806,0.0,0.0,605,280,180,153,652,305,218,263,292,0,0
105945.90061759949,12319.851519584656,0.11628436256398306,0.1167,0.0576,0.0573,0.142,0.0575,0.0573,0.1158,0.1232,0.1564,0.0,0.0,1069,244,157,329,207,127,381,485,567,0,0
106927.42578411102,25768.761847496033,0.24099300678502975,0.0679,0.0679,0.1052,0.0675,0.1503,0.0679,0.0684,0.0836,0.0804,0.0,0.0,619,290,287,156,538,152,226,327,291,0,0
107289.20092391968,34765.17172050476,0.32403234828039446,0.0593,0.0748,0.0592,0.0594,0.1077,0.0594,0.09,0.1071,0.0592,0.0,0.0,542,318,161,137,386,132,298,421,213,0,0
107912.09806442261,15442.79782485962,0.1431053431621763,0.0623,0.0621,0.0621,0.0622,0.0623,0.1407,0.1693,0.1017,0.1342,0.0,0.0,562,263,169,143,223,311,560,401,481,0,0
108390.6044921875,11724.587589263916,0.10816977766840476,0.1447,0.0573,0.0529,0.1443,0.0531,0.0529,0.1447,0.1446,0.0973,0.0,0.0,1304,243,147,333,194,116,476,571,345,0,0
108883.40266609192,13107.214694023132,0.12037844495196819,0.0592,0.0591,0.059,0.1275,0.0591,0.0959,0.1609,0.121,0.1379,0.0,0.0,533,251,164,293,216,211,529,480,486,0,0
108527.37929534912,14317.383275032043,0.1319241593042467,0.0652,0.0651,0.0693,0.1534,0.065,0.1029,0.1047,0.0651,0.1773,0.0,0.0,587,276,192,353,237,226,344,257,632,0,0
109284.76772880554,12394.424034118652,0.11341401269091686,0.1386,0.0668,0.0561,0.1525,0.1173,0.0557,0.1525,0.0561,0.0911,0.0,0.0,1252,281,156,352,429,122,502,221,322,0,0
109438.77492904663,15333.145917892456,0.14010706833874487,0.0694,0.0694,0.0694,0.1015,0.0986,0.0692,0.1244,0.0693,0.1887,0.0,0.0,626,289,195,234,362,151,410,273,667,0,0
108401.21759796143,13595.363286972046,0.12541707176569314,0.062,0.062,0.1188,0.074,0.0618,0.1224,0.0998,0.1685,0.1052,0.0,0.0,560,258,334,170,225,269,330,664,375,0,0
109159.79877662659,35394.10655212402,0.3242412220322144,0.0594,0.0594,0.0914,0.0594,0.0649,0.0591,0.0593,0.1614,0.0615,0.0,0.0,536,246,256,136,237,129,195,641,219,0,0
109781.5539932251,16373.701222419739,0.1491480182857514,0.0672,0.0671,0.0669,0.0822,0.067,0.1826,0.1051,0.1147,0.098,0.0,0.0,603,277,187,187,245,394,342,459,345,0,0
109887.64093875885,14260.226212501526,0.12977097415758382,0.064,0.0664,0.1473,0.0639,0.064,0.0821,0.1035,0.174,0.105,0.0,0.0,569,273,415,145,236,176,335,707,369,0,0
110552.9471616745,12793.42881679535,0.11572218692719266,0.1553,0.057,0.057,0.057,0.057,0.1551,0.0868,0.1037,0.1553,0.0,0.0,1382,236,161,129,210,332,280,420,544,0,0
110913.2597360611,18167.11901950836,0.1637957360800722,0.1559,0.1557,0.0573,0.0824,0.0572,0.0569,0.1558,0.0573,0.0577,0.0,0.0,1380,641,162,187,211,122,501,235,201,0,0
110608.92192745209,14168.8061876297,0.12809822156049003,0.0951,0.0656,0.0632,0.1155,0.1323,0.0631,0.1718,0.0865,0.0788,0.0,0.0,846,270,178,261,490,135,551,359,274,0,0
110933.53475475311,16756.686904907227,0.1510515908643149,0.0751,0.0745,0.0744,0.0743,0.0746,0.1367,0.0982,0.0983,0.1429,0.0,0.0,667,307,208,167,276,295,315,408,499,0,0
110807.06103229523,13717.865531921387,0.12379956118431164,0.0609,0.0759,0.0607,0.0606,0.0607,0.1656,0.1655,0.1655,0.0609,0.0,0.0,539,313,168,136,224,357,532,690,214,0,0
111860.64897346497,31699.298406600952,0.28338203557285374,0.0607,0.0749,0.1192,0.0998,0.0606,0.0606,0.0764,0.0608,0.1036,0.0,0.0,533,311,330,224,223,130,245,254,363,0,0
