date,portfolio_value,cash,w_c,w_XLF,w_XLK,w_XLV,w_XLY,w_XLP,w_XLE,w_XLI,w_XLU,w_XLB,w_XLRE,w_XLC,s_XLF,s_XLK,s_XLV,s_XLY,s_XLP,s_XLE,s_XLI,s_XLU,s_XLB,s_XLRE,s_XLC,purchases,sales
2018-02-14,99287.69339561462,5953.174449920654,0.059958835242551786,0.155,0.0567,0.0566,0.0801,0.057,0.1549,0.1113,0.0567,0.1548,0.057,0.0,616,92,76,82,127,313,165,147,297,241,0,14017.666223526001,14248.597610473633
2018-02-15,100128.13968658447,7643.762897491455,0.07633980738499223,0.0492,0.1339,0.0493,0.1339,0.0918,0.049,0.0814,0.1337,0.1339,0.0677,0.0,196,215,66,137,203,100,120,342,257,286,0,25192.164836883545,26882.753284454346
2018-02-16,100212.91599273682,15525.638273239136,0.15492651939560761,0.0558,0.0559,0.0556,0.0554,0.152,0.0556,0.0556,0.1517,0.0555,0.1519,0.0,223,90,74,57,335,114,82,385,107,638,0,18064.73562812805,25946.611003875732
2018-02-20,99314.66652870178,6138.465467453003,0.06180824728117066,0.1508,0.0797,0.0555,0.1505,0.1508,0.0553,0.1233,0.0616,0.0552,0.0554,0.0,599,127,74,154,337,113,182,157,106,233,0,27941.432636260986,18554.259830474854
2018-02-21,98771.06378173828,12702.270910263062,0.12860315991262591,0.0464,0.0464,0.0465,0.1266,0.0898,0.1263,0.0463,0.1266,0.1263,0.0901,0.0,183,74,62,129,202,261,68,325,242,384,0,24049.95597076416,30613.76141357422
2018-02-22,99186.11864471436,14248.857706069946,0.14365778095531184,0.1397,0.0512,0.053,0.0783,0.0839,0.0512,0.0717,0.0511,0.1365,0.1397,0.0,558,82,71,80,189,105,105,131,261,591,0,18822.291694641113,20368.878490447998
2018-02-23,100526.57661437988,6128.73508644104,0.06096631649907743,0.156,0.0573,0.1533,0.1067,0.1561,0.0599,0.0782,0.0572,0.0571,0.0572,0.0,622,91,205,109,353,122,115,145,109,241,0,24480.467449188232,16360.344829559326
2018-02-26,101409.98064231873,7752.083547592163,0.07644300391826712,0.1489,0.0545,0.0541,0.1487,0.1487,0.0544,0.0546,0.0546,0.1486,0.0565,0.0,590,86,72,152,337,111,80,140,285,239,0,13574.849311828613,15198.197772979736
2018-02-27,100076.04042434692,15799.363424301147,0.15787358649790675,0.0567,0.0826,0.0565,0.0563,0.1046,0.0568,0.0567,0.1544,0.0631,0.1544,0.0,224,130,75,58,237,116,83,397,121,659,0,23328.261291503906,31375.54116821289
2018-02-28,99262.20647621155,13524.924060821533,0.13625451761504837,0.1337,0.049,0.0485,0.0507,0.1338,0.0492,0.0489,0.1336,0.0826,0.1338,0.0,531,77,65,52,304,102,72,343,160,567,0,12597.87875175476,10323.439388275146
2018-03-01,98541.46120643616,8162.1200313568115,0.08282929775374297,0.0449,0.1217,0.0444,0.1213,0.1221,0.1218,0.1221,0.1016,0.07,0.0473,0.0,180,193,60,125,276,251,182,259,136,200,0,28584.955821990967,23222.151792526245
2018-03-02,98827.99214363098,15353.97942352295,0.15536063306040204,0.0556,0.0552,0.0552,0.0552,0.1512,0.0647,0.0555,0.1452,0.0554,0.1516,0.0,223,87,74,57,340,133,83,372,108,645,0,19595.898183822632,26787.75757598877
2018-03-05,99915.89978790283,15440.642097473145,0.15453638640346407,0.1519,0.0558,0.0558,0.0553,0.1518,0.0559,0.0555,0.0559,0.0555,0.152,0.0,608,88,75,57,342,115,83,142,108,645,0,9838.530769348145,9925.19344329834
2018-03-06,100107.26501846313,15452.956600189209,0.1543639874422617,0.1505,0.0552,0.0549,0.0546,0.1503,0.0553,0.0644,0.0551,0.0549,0.1504,0.0,601,87,74,56,339,114,96,142,106,637,0,873.1301345825195,885.444637298584
2018-03-07,99927.50120544434,17073.29388809204,0.17085680800714187,0.0616,0.0613,0.0635,0.0611,0.1677,0.0618,0.0612,0.0617,0.0616,0.1678,0.0,246,96,85,63,381,128,91,160,119,706,0,7600.081470489502,9220.418758392334
2018-03-08,100400.5245437622,15578.291744232178,0.1551614577216872,0.111,0.0556,0.0561,0.0629,0.1525,0.0557,0.0558,0.087,0.0557,0.1525,0.0,444,87,75,65,345,116,83,225,108,640,0,7688.28279876709,6193.280654907227
2018-03-09,101508.5199432373,14316.704048156738,0.14103943251426104,0.1385,0.0508,0.1382,0.0506,0.1386,0.0508,0.051,0.051,0.0509,0.1386,0.0,547,79,184,52,315,105,75,133,98,584,0,10956.63257598877,9695.04487991333
2018-03-12,101420.45332145691,7267.538032531738,0.07165751872057734,0.1902,0.0698,0.0696,0.0781,0.0699,0.0697,0.1713,0.0698,0.07,0.0699,0.0,753,108,93,80,159,144,255,181,135,293,0,27953.692710876465,20904.526695251465
2018-03-13,100945.95501327515,14339.943370819092,0.1420556511544547,0.1386,0.0507,0.0504,0.0507,0.1386,0.0507,0.0504,0.1386,0.0508,0.1385,0.0,552,79,67,52,314,105,75,357,98,576,0,20672.074125289917,27744.47946357727
2018-03-14,100633.17150497437,15461.41444015503,0.15364133127207227,0.1504,0.0553,0.0549,0.0547,0.1503,0.0549,0.0553,0.0653,0.055,0.1504,0.0,604,86,73,56,343,114,83,166,107,622,0,6438.489246368408,7559.960315704346
2018-03-15,100431.11450958252,6048.256504058838,0.06022293522872088,0.156,0.0574,0.1188,0.0567,0.1557,0.0571,0.0676,0.156,0.0574,0.0572,0.0,625,89,158,58,357,119,101,396,113,236,0,18803.559448242188,9390.401512145996
2018-03-16,100692.97505950928,13451.29355430603,0.133587209498541,0.1308,0.0482,0.1035,0.0477,0.1309,0.0478,0.0477,0.1308,0.0481,0.1309,0.0,525,75,138,49,301,99,71,330,95,539,0,7409.856885910034,14812.893936157227
