date,portfolio_value,cash,w_c,w_XLF,w_XLK,w_XLV,w_XLY,w_XLP,w_XLE,w_XLI,w_XLU,w_XLB,w_XLRE,w_XLC,s_XLF,s_XLK,s_XLV,s_XLY,s_XLP,s_XLE,s_XLI,s_XLU,s_XLB,s_XLRE,s_XLC,purchases,sales
2014-02-03,96340.38784122467,28136.23777770996,0.292050285536325,0.0694,0.0535,0.0789,0.0534,0.1454,0.0531,0.0552,0.1454,0.0535,0.0,0.0,497,175,167,96,476,97,135,526,151,0,0,8448.356126785278,24696.71409511566
2014-02-04,96685.73011875153,23224.318237304688,0.24020419775265772,0.0619,0.0618,0.1156,0.0634,0.1683,0.0617,0.0689,0.0961,0.062,0.0,0.0,441,202,243,113,550,112,168,351,174,0,0,10306.24907875061,5394.329538345337
2014-02-05,96547.52105522156,23235.25468826294,0.24066132858008074,0.0674,0.0674,0.0673,0.0732,0.0758,0.0738,0.1199,0.0674,0.1471,0.0,0.0,480,220,142,130,247,135,292,247,412,0,0,16322.720111846924,16333.656562805176
2014-02-06,97511.59233665466,29870.591371536255,0.3063286185339821,0.0559,0.0558,0.0557,0.091,0.1314,0.056,0.0565,0.1354,0.056,0.0,0.0,396,182,118,160,428,102,137,497,156,0,0,13720.905714035034,20356.24239730835
2014-02-07,98277.21694946289,28165.144772529602,0.2865887501374095,0.0523,0.0796,0.0881,0.052,0.1423,0.0523,0.052,0.1424,0.0523,0.0,0.0,369,258,185,91,463,95,125,524,145,0,0,7216.926881790161,5511.480282783508
2014-02-10,98493.48369216919,26253.832164764404,0.26655400114405475,0.0589,0.12,0.0589,0.065,0.1016,0.0585,0.0821,0.1297,0.0586,0.0,0.0,416,389,123,114,330,107,199,475,162,0,0,10187.600405693054,8276.287797927856
2014-02-11,99293.42518043518,31376.114022254944,0.31599387336310064,0.0757,0.0576,0.0573,0.0575,0.1205,0.0577,0.0575,0.1428,0.0574,0.0,0.0,533,186,119,101,390,105,139,522,158,0,0,4766.828654289246,9889.110511779785
2014-02-12,99296.45017051697,28253.158264160156,0.2845334170118104,0.052,0.0519,0.1011,0.0729,0.1412,0.0515,0.0516,0.1413,0.0518,0.0,0.0,366,167,210,128,459,94,124,516,143,0,0,7986.230546951294,4863.274788856506
2014-02-13,99743.07062149048,27259.307899475098,0.2732952547943902,0.0499,0.0583,0.0676,0.1235,0.1358,0.0499,0.056,0.1358,0.0499,0.0,0.0,352,187,140,217,441,91,135,493,137,0,0,6129.006103515625,5135.155738830566
2014-02-14,100167.41331481934,21824.41261100769,0.21787936703940886,0.0546,0.0544,0.0651,0.1482,0.1483,0.0542,0.0545,0.1483,0.0545,0.0,0.0,386,175,135,260,481,98,131,537,149,0,0,6216.985258102417,782.0899696350098
2014-02-18,100249.63262367249,26105.440914154053,0.2604043549182008,0.0549,0.0631,0.1002,0.1369,0.1093,0.0744,0.0548,0.0797,0.0661,0.0,0.0,388,203,206,240,357,134,132,288,181,0,0,7581.840137481689,11862.868440628052
2014-02-19,99822.30441474915,12930.120435714722,0.12953137589362487,0.1408,0.0641,0.0641,0.0653,0.1031,0.0731,0.064,0.1745,0.1213,0.0,0.0,1004,206,132,115,336,131,155,631,333,0,0,24661.553997039795,11486.233518600464
2014-02-20,100390.6987323761,12669.58472251892,0.12620277458466347,0.1259,0.0621,0.0619,0.1119,0.0619,0.1168,0.1285,0.0621,0.1428,0.0,0.0,900,200,127,197,202,209,310,224,390,0,0,17595.768238067627,17335.232524871826
2014-02-21,100280.24081611633,13355.860427856445,0.13318536452606908,0.0868,0.0644,0.1582,0.0735,0.0643,0.0644,0.0768,0.1752,0.1031,0.0,0.0,619,208,325,129,210,116,185,631,282,0,0,21494.060546875,22180.336252212524
2014-02-24,100619.18773555756,20221.785756111145,0.20097345457863422,0.0538,0.057,0.1002,0.0536,0.0539,0.1466,0.0588,0.1466,0.1285,0.0,0.0,382,184,205,94,176,261,141,531,354,0,0,10823.0641746521,17688.9895029068
2014-02-25,100607.29666805267,24292.64981174469,0.24146011886092847,0.048,0.1307,0.1307,0.0511,0.1211,0.0477,0.0503,0.1307,0.0481,0.0,0.0,343,423,268,89,394,85,121,474,132,0,0,17265.66411972046,21336.528175354004
2014-02-26,100597.8949098587,30078.724249839783,0.2989995394713974,0.0547,0.0544,0.0985,0.0543,0.1484,0.0547,0.0545,0.1025,0.079,0.0,0.0,391,176,202,94,483,98,131,373,215,0,0,7931.207176208496,13717.281614303589
2014-02-27,100892.19877433777,18941.83331012726,0.18774328977103402,0.0559,0.0746,0.0846,0.1521,0.1292,0.0557,0.0559,0.1485,0.0557,0.0,0.0,399,240,173,263,420,100,134,543,151,0,0,16907.1421585083,5770.251218795776
2014-02-28,101244.16073608398,14983.855937957764,0.14799723588026578,0.0733,0.0813,0.1277,0.0729,0.0911,0.0998,0.0792,0.0733,0.1535,0.0,0.0,522,262,262,126,295,179,190,267,416,0,0,23556.245409965515,19598.26803779602
2014-03-03,100654.30523872375,13624.491083145142,0.13535924817951575,0.0768,0.0667,0.146,0.0795,0.0822,0.0914,0.1341,0.0847,0.1033,0.0,0.0,548,216,300,138,266,164,322,310,279,0,0,9639.078815460205,8279.713960647583
